Wall time,Step,Value
1524062305.877657,1,4.970051288604736
1524062445.94186,301,4.356040954589844
1524062538.062075,501,4.301684856414795
1524062584.07205,601,4.280898571014404
1524062632.079602,701,4.2767815589904785
1524062677.555028,801,4.220261573791504
1524062723.339253,901,4.193411350250244
1524062768.841108,1001,4.15957498550415
1524062814.277202,1101,4.094115257263184
1524062860.413838,1201,4.044477462768555
1524063092.039318,1701,3.6655449867248535
1524063138.182864,1801,3.5731072425842285
1524063184.006348,1901,3.543198585510254
1524063232.278507,2001,3.4759130477905273
1524063278.293946,2101,3.3831570148468018
1524063324.111514,2201,3.334075927734375
1524063370.002417,2301,3.3151161670684814
1524063415.93761,2401,3.2575812339782715
1524063461.576121,2501,3.190157413482666
1524063555.627347,2701,3.116448163986206
1524063647.252449,2901,3.1181092262268066
1524063785.651592,3201,3.052292823791504
1524063834.143482,3301,3.0298988819122314
1524063879.965401,3401,3.005189895629883
1524063925.728955,3501,3.018862724304199
1524063971.701405,3601,2.9687092304229736
1524064017.563903,3701,2.9558794498443604
1524064063.609241,3801,2.9598376750946045
1524064111.995715,3901,2.9239158630371094
1524064157.949182,4001,2.8985860347747803
1524064203.811864,4101,2.9272472858428955
1524064249.998606,4201,2.8230843544006348
1524064341.810342,4401,2.8751587867736816
1524064388.063821,4501,2.8401939868927
1524064436.57178,4601,2.8878955841064453
1524064482.420429,4701,2.8796443939208984
1524064528.239103,4801,2.7968428134918213
1524064573.740214,4901,2.889178991317749
1524064665.30081,5101,2.7951011657714844
1524064758.863004,5301,2.7358949184417725
1524064805.025175,5401,2.7766528129577637
1524064850.892853,5501,2.758265972137451
1524064896.733369,5601,2.7012600898742676
1524064942.584027,5701,2.7403082847595215
1524064988.720708,5801,2.7084531784057617
1524065036.663245,5901,2.7313098907470703
1524065082.529724,6001,2.746877431869507
1524065128.179776,6101,2.720101833343506
1524065312.910797,6501,2.7049527168273926
1524065450.621996,6801,2.7081799507141113
1524065542.0813,7001,2.6629714965820312
1524065587.567048,7101,2.664851665496826
1524065635.988872,7201,2.6282730102539062
1524065681.751623,7301,2.64984130859375
1524065773.23386,7501,2.6436452865600586
1524065864.424436,7701,2.611736297607422
1524065912.690826,7801,2.561537981033325
1524065958.383231,7901,2.57368540763855
1524066049.787627,8101,2.5718438625335693
1524066095.558012,8201,2.5853335857391357
1524066141.155064,8301,2.550579309463501
1524066187.123928,8401,2.5519230365753174
1524066235.304147,8501,2.5852808952331543
1524066326.895932,8701,2.4748406410217285
1524066372.56705,8801,2.532038450241089
1524066418.257008,8901,2.513247013092041
1524066464.220491,9001,2.492802858352661
1524066512.381057,9101,2.4426989555358887
1524066558.051051,9201,2.4063172340393066
1524066649.874886,9401,2.445474147796631
1524066695.820497,9501,2.4766244888305664
1524066741.863276,9601,2.4441447257995605
1524066787.861125,9701,2.4615859985351562
1524066836.033473,9801,2.4169411659240723
1524066927.501185,10001,2.44948673248291
1524066973.284392,10101,2.3695507049560547
1524067019.29627,10201,2.349252700805664
1524067159.262132,10501,2.315368890762329
1524067204.880676,10601,2.2780473232269287
1524067250.636485,10701,2.330127716064453
1524067296.760411,10801,2.2958240509033203
1524067342.582628,10901,2.2999913692474365
1524067482.543478,11201,2.27130126953125
1524067528.212133,11301,2.29403018951416
1524067574.311445,11401,2.2754874229431152
1524067665.3971,11601,2.257523536682129
1524067759.243032,11801,2.186739206314087
1524067941.248718,12201,2.2374730110168457
1524067987.350053,12301,2.162024736404419
1524068035.467058,12401,2.1423065662384033
1524068081.151874,12501,2.169450283050537
1524068127.4399,12601,2.168407917022705
1524068172.939226,12701,2.1715967655181885
1524068264.225171,12901,2.1177046298980713
1524068357.830949,13101,2.130270004272461
1524068403.624828,13201,2.1692800521850586
1524068449.414278,13301,2.0409324169158936
1524068495.155091,13401,2.0843758583068848
1524068541.300864,13501,2.0737826824188232
1524068635.217902,13701,2.0751216411590576
1524068681.338182,13801,2.0838699340820312
1524068727.117132,13901,2.071281909942627
1524068772.822315,14001,2.0694515705108643
1524068818.757956,14101,2.0713987350463867
1524068864.389123,14201,2.060361862182617
1524069003.07245,14501,2.0392279624938965
1524069048.447974,14601,1.9946496486663818
1524069094.504837,14701,2.107966661453247
1524069185.938186,14901,1.995739221572876
1524069234.107642,15001,2.0471620559692383
1524069279.71369,15101,1.9753601551055908
1524069370.862269,15301,1.9416368007659912
1524069416.619734,15401,2.0498692989349365
1524069462.25624,15501,2.0077624320983887
1524069508.334593,15601,2.0267739295959473
1524069557.029327,15701,1.9409308433532715
1524069602.862051,15801,1.964374303817749
1524069648.614908,15901,1.9300005435943604
1524069694.084112,16001,1.9713374376296997
1524069739.50626,16101,1.9326008558273315
1524069785.273976,16201,1.9250400066375732
1524069879.205745,16401,1.95836341381073
1524069925.168036,16501,1.9667723178863525
1524069971.033376,16601,1.956220269203186
1524070016.768596,16701,1.910330891609192
1524070062.852068,16801,1.9634861946105957
1524070108.5187,16901,1.954822063446045
1524070157.042959,17001,1.944560170173645
1524070248.411547,17201,1.9142345190048218
1524070340.279308,17401,1.9537421464920044
1524070386.318867,17501,1.890215277671814
