Wall time,Step,Value
1524062357.619127,1,4.969983100891113
1524062488.579512,301,4.336126327514648
1524062574.202691,501,4.259698390960693
1524062617.184652,601,4.23409366607666
1524062662.258266,701,4.231429100036621
1524062704.884864,801,4.200407028198242
1524062747.925597,901,4.152194023132324
1524062790.656159,1001,4.122967720031738
1524062833.592039,1101,4.058043003082275
1524062876.483489,1201,3.9938580989837646
1524063093.663259,1701,3.6824612617492676
1524063136.531019,1801,3.5592191219329834
1524063179.599408,1901,3.565667152404785
1524063222.469052,2001,3.5016860961914062
1524063267.892832,2101,3.398301601409912
1524063310.665029,2201,3.3614089488983154
1524063353.435815,2301,3.267791986465454
1524063396.572002,2401,3.2993569374084473
1524063439.484331,2501,3.2790541648864746
1524063525.519404,2701,3.1354806423187256
1524063613.687481,2901,3.154322624206543
1524063742.065819,3201,3.116230010986328
1524063785.007504,3301,3.0568127632141113
1524063827.587589,3401,3.0357820987701416
1524063873.068588,3501,3.0206334590911865
1524063915.947427,3601,3.004101514816284
1524063958.935658,3701,2.944711923599243
1524064001.727058,3801,2.9080636501312256
1524064044.761395,3901,2.8984384536743164
1524064087.541361,4001,2.9783904552459717
1524064130.428582,4101,2.909000873565674
1524064175.612623,4201,2.972487211227417
1524064261.215806,4401,2.788821220397949
1524064304.276944,4501,2.8215222358703613
1524064347.164142,4601,2.824151039123535
1524064389.821057,4701,2.7822697162628174
1524064432.622304,4801,2.8234548568725586
1524064477.377338,4901,2.7972612380981445
1524064563.116491,5101,2.77461576461792
1524064648.099563,5301,2.683490514755249
1524064690.993453,5401,2.757145643234253
1524064733.791427,5501,2.721627712249756
1524064778.845685,5601,2.772516965866089
1524064821.590206,5701,2.7154290676116943
1524064864.354395,5801,2.731407642364502
1524064906.862393,5901,2.7433671951293945
1524064949.578297,6001,2.606815814971924
1524064992.272615,6101,2.718973159790039
1524065170.606074,6501,2.610558032989502
1524065298.99873,6801,2.5842864513397217
1524065386.437776,7001,2.632829427719116
1524065429.130981,7101,2.5416064262390137
1524065472.036069,7201,2.6049158573150635
1524065514.813596,7301,2.5895087718963623
1524065600.521558,7501,2.57918643951416
1524065688.957708,7701,2.5640625953674316
1524065732.008345,7801,2.578216314315796
1524065774.729415,7901,2.5584311485290527
1524065860.492005,8101,2.4526126384735107
1524065903.350287,8201,2.5205600261688232
1524065946.266323,8301,2.46848726272583
1524065991.830745,8401,2.469388008117676
1524066034.611739,8501,2.5119967460632324
1524066120.627188,8701,2.504667282104492
1524066163.502324,8801,2.4288928508758545
1524066206.347555,8901,2.4506959915161133
1524066249.399017,9001,2.390143394470215
1524066294.71739,9101,2.405237913131714
1524066337.547048,9201,2.428265333175659
1524066423.356047,9401,2.3664331436157227
1524066466.181732,9501,2.3742544651031494
1524066509.262864,9601,2.3330931663513184
1524066552.116836,9701,2.317945718765259
1524066596.950149,9801,2.3193182945251465
1524066682.960995,10001,2.256077289581299
1524066725.689001,10101,2.316664695739746
1524066768.50712,10201,2.305778980255127
1524066899.631906,10501,2.234865427017212
1524066942.526425,10601,2.271979331970215
1524066985.354923,10701,2.259014844894409
1524067028.719413,10801,2.2403390407562256
1524067071.410657,10901,2.195690155029297
1524067202.980768,11201,2.222771167755127
1524067245.811089,11301,2.2624993324279785
1524067288.807606,11401,2.158050298690796
1524067374.181106,11601,2.0952882766723633
1524067459.901949,11801,2.079176187515259
1524067634.136298,12201,2.1302826404571533
1524067677.222735,12301,2.1451468467712402
1524067720.210519,12401,2.1151793003082275
1524067765.688825,12501,2.098249912261963
1524067809.128857,12601,2.1229538917541504
1524067852.124989,12701,2.0474486351013184
1524067938.71039,12901,2.0651938915252686
1524068024.919594,13101,2.012986660003662
1524068070.606973,13201,2.0284461975097656
1524068113.705619,13301,2.0383994579315186
1524068156.646691,13401,1.9999024868011475
1524068199.554792,13501,2.01027774810791
1524068285.048637,13701,2.0123727321624756
1524068327.914415,13801,1.9895694255828857
1524068373.19268,13901,1.9685378074645996
1524068415.960735,14001,1.928694248199463
1524068458.976088,14101,1.9841792583465576
1524068501.777325,14201,1.9880955219268799
1524068630.432854,14501,1.9393740892410278
1524068676.028422,14601,1.9515585899353027
1524068719.331971,14701,1.9390099048614502
1524068805.348466,14901,1.9055744409561157
1524068848.668041,15001,1.919905185699463
1524068891.489063,15101,1.884941816329956
1524068980.296644,15301,1.9287711381912231
1524069023.008727,15401,1.8930422067642212
1524069065.87412,15501,1.887467384338379
1524069108.592451,15601,1.86360764503479
1524069151.543757,15701,1.9152940511703491
1524069194.239613,15801,1.8583319187164307
1524069237.39154,15901,1.9073774814605713
1524069283.086375,16001,1.8914053440093994
1524069325.891687,16101,1.8419328927993774
1524069368.794535,16201,1.8294743299484253
1524069454.439599,16401,1.8017972707748413
1524069497.558563,16501,1.8680224418640137
1524069540.238988,16601,1.862878680229187
1524069586.103929,16701,1.8029392957687378
