Wall time,Step,Value
1524062271.801695,1,4.971107482910156
1524062403.007112,301,4.438647747039795
1524062488.667282,501,4.370434284210205
1524062531.68891,601,4.377260684967041
1524062576.671439,701,4.3060407638549805
1524062619.410859,801,4.303462028503418
1524062662.479953,901,4.260076522827148
1524062705.212529,1001,4.224303245544434
1524062748.164787,1101,4.168196201324463
1524062791.496834,1201,4.09376859664917
1524063008.6791,1701,3.763012409210205
1524063051.553968,1801,3.774709939956665
1524063094.269517,1901,3.667295455932617
1524063137.21705,2001,3.6027746200561523
1524063183.590913,2101,3.5465307235717773
1524063226.548634,2201,3.4982807636260986
1524063269.360119,2301,3.425652265548706
1524063312.236954,2401,3.43994140625
1524063354.889844,2501,3.394023895263672
1524063440.7296,2701,3.323789119720459
1524063529.003965,2901,3.2911033630371094
1524063657.40909,3201,3.2657434940338135
1524063700.501338,3301,3.2208425998687744
1524063743.173268,3401,3.241987705230713
1524063788.039282,3501,3.1424367427825928
1524063831.016689,3601,3.1885695457458496
1524063873.862774,3701,3.198737859725952
1524063916.786139,3801,3.119800090789795
1524063960.018074,3901,3.129350423812866
1524064002.941174,4001,3.1214382648468018
1524064045.685519,4101,3.0676369667053223
1524064091.277122,4201,3.0852293968200684
1524064177.07329,4401,2.9737701416015625
1524064220.352202,4501,3.0439538955688477
1524064263.162306,4601,2.991361141204834
1524064305.874159,4701,3.04172420501709
1524064349.163662,4801,3.0015499591827393
1524064395.235469,4901,3.0020601749420166
1524064481.253215,5101,2.947902202606201
1524064567.269292,5301,2.9718141555786133
1524064610.34916,5401,2.9031906127929688
1524064653.255282,5501,2.9060709476470947
1524064698.691928,5601,2.9295806884765625
1524064741.328438,5701,2.929445266723633
1524064784.297085,5801,2.8953895568847656
1524064827.164423,5901,2.834010124206543
1524064870.57171,6001,2.9181394577026367
1524064913.684579,6101,2.8267645835876465
1524065088.035321,6501,2.8738276958465576
1524065217.106455,6801,2.7700819969177246
1524065306.197403,7001,2.791749954223633
1524065348.842351,7101,2.762904644012451
1524065391.676446,7201,2.799978494644165
1524065434.424913,7301,2.773106575012207
1524065519.984509,7501,2.7495012283325195
1524065607.765437,7701,2.7042031288146973
1524065650.679972,7801,2.6958727836608887
1524065693.235249,7901,2.7353925704956055
1524065778.59133,8101,2.705277442932129
1524065821.219742,8201,2.6809656620025635
1524065863.7467,8301,2.6071600914001465
1524065909.731606,8401,2.6479005813598633
1524065952.717516,8501,2.7354917526245117
1524066055.796092,8701,2.6327383518218994
1524066098.868887,8801,2.6135411262512207
1524066141.69523,8901,2.6694400310516357
1524066188.098491,9001,2.6427955627441406
1524066230.917614,9101,2.5670809745788574
1524066273.667288,9201,2.5582377910614014
1524066359.429739,9401,2.5002481937408447
1524066402.268462,9501,2.5460076332092285
1524066445.492615,9601,2.546309471130371
1524066491.205994,9701,2.5500636100769043
1524066534.235261,9801,2.530841588973999
1524066620.552615,10001,2.471895217895508
1524066663.250905,10101,2.486593008041382
1524066706.324026,10201,2.4498956203460693
1524066838.135656,10501,2.4577977657318115
1524066881.234949,10601,2.4228076934814453
1524066923.969892,10701,2.3795065879821777
1524066966.785242,10801,2.445801258087158
1524067009.767367,10901,2.4304139614105225
1524067142.004357,11201,2.3568782806396484
1524067184.964456,11301,2.332681179046631
1524067227.737585,11401,2.405006170272827
1524067312.958845,11601,2.3035054206848145
1524067401.361052,11801,2.327118158340454
1524067573.175029,12201,2.306459903717041
1524067616.236893,12301,2.226349115371704
1524067658.968505,12401,2.3463120460510254
1524067704.541061,12501,2.2752997875213623
1524067747.874789,12601,2.299391269683838
1524067790.829521,12701,2.269951343536377
1524067876.625272,12901,2.2503418922424316
1524067962.332155,13101,2.2543253898620605
1524068007.711248,13201,2.267652988433838
1524068050.313546,13301,2.26133131980896
1524068093.031978,13401,2.157957077026367
1524068136.183931,13501,2.1855287551879883
1524068221.645347,13701,2.1911797523498535
1524068264.659787,13801,2.1942951679229736
1524068309.662047,13901,2.1748313903808594
1524068352.641713,14001,2.1413259506225586
1524068395.703341,14101,2.155590057373047
1524068438.735949,14201,2.1857750415802
1524068567.249495,14501,2.142737865447998
1524068613.658359,14601,2.169721841812134
1524068656.448719,14701,2.095885753631592
1524068741.699275,14901,2.1062495708465576
1524068784.922411,15001,2.106894016265869
1524068827.736266,15101,2.187230110168457
1524068916.143455,15301,2.1328318119049072
1524068959.483071,15401,2.0903000831604004
1524069002.494763,15501,2.1290879249572754
1524069045.596068,15601,2.0717673301696777
1524069088.670591,15701,2.0520849227905273
1524069131.370773,15801,2.0815975666046143
1524069174.418134,15901,2.083743095397949
1524069219.744354,16001,2.0694611072540283
1524069262.105023,16101,2.093703508377075
1524069304.773668,16201,2.0516321659088135
1524069389.522324,16401,2.0755369663238525
1524069432.056732,16501,2.050107002258301
1524069474.388204,16601,2.021641969680786
1524069519.143678,16701,2.0553231239318848
1524069562.177637,16801,2.03098464012146
