Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8
-0.2315274090554505,0.0644249462604654,0.4689812325940321,0.702743696426819,-0.6429698434843203,0.02422036126759558,0.5828839698908985,0.1326295934069372
-0.24471700206001046,-0.01341116792015462,0.546617911076044,0.9512905975376843,-0.6227873329425826,-0.08087473689019398,1.2385352022347251,0.3269370815031748
-0.22090717540526483,-0.057011677454087646,0.6217863533330048,0.986287909556223,-0.6129594200882545,-0.11176513136640738,1.58661880037205,0.28176177614787823
-0.24466361268954037,-0.0472209881368071,0.6750345220551429,0.9937040696532886,-0.6595986322550241,-0.10519165556818277,1.9394119464837294,0.4459254867971889
-0.23974752901292862,-0.06261868741304483,0.6723135390645552,1.0452479322152652,-0.7092074701115417,-0.062385810785113516,2.1039780118956464,0.392507117831169
-0.26961872164852385,-0.04044731738749742,0.739266316394733,1.0737618171513903,-0.785823405028852,-0.009115820410674463,2.3626086773420285,0.41823025973837513
-0.2768526178676102,-0.0218689983469982,0.7991277151665033,1.0634199148956047,-0.789222693803598,0.00593231130108153,2.6714696860419935,0.44828664703896914
-0.2839014896340417,-0.027704294770874653,0.9030203982422561,1.0809871565174678,-0.7462140584993673,-0.018423455555967652,3.043328882678016,0.4931399413173326
-0.2872478419263561,-0.00910388332442165,1.016055007388008,1.0649290016208786,-0.7671857936084011,0.022796250309731203,3.4936873006163256,0.5001288769295985
-0.2953535685717204,0.023831793307043797,1.0944531088860145,1.014413047100025,-0.8010827689602906,0.06096777712796904,3.645707503726793,0.6839426900606117
-0.31346648056917065,0.08696735757136452,1.1029076042594117,1.0146935295113908,-0.8919983592428611,0.11722258224417463,3.6521608425261842,0.49043535668102395
-0.2913002971939557,0.09131708678610903,1.1193588510160253,1.0098147958691623,-0.9009059124774729,0.10184929081951052,3.5733740654985993,0.5108208266949098
-0.24081756444955,0.12416316792919191,0.9565760274394001,0.8933215532383401,-0.9215732810308436,0.24556053367928343,3.1146309925812203,0.29214462614266457
-0.32233581835322445,0.17149386359279845,1.2100629413006907,0.9943362955767784,-0.9216679575057151,0.1316702931653823,3.9248782935039723,0.4690990714987645
-0.3074250094267904,0.1766916927057112,1.1551207672817685,0.9154088338144892,-0.9166307989468645,0.1642329131036558,3.922893549948918,0.43533990171784387
-0.31742875193935055,0.19836368139248756,1.3241460421958313,0.916961396698651,-0.9353871171968229,0.1469117285688797,4.075185932500164,0.4891247559258803
-0.3279206336007646,0.23807159892651922,1.2963471928630859,0.9146779318810851,-0.9073814694275009,0.13060857882908983,4.086688907806744,0.586552806681666
-0.322609827055406,0.2365407941711467,1.2748847418016822,0.8832546891933284,-0.8626579031888757,0.07025111919873564,3.564297757917276,0.6928437920251965
-0.32307049501892177,0.24749370871408224,1.3763611468222317,0.8805211805592046,-0.9107737440534391,0.11514157085837295,3.964769987947971,0.5819419987740718
-0.29685671986486256,0.24948421652815603,1.3768951631253346,0.7550746073511003,-0.9765077342018235,0.24172414411729717,4.239428050645196,0.2554811545797309
-0.3001587032112979,0.23806594079423407,1.370673223529271,0.7085945066241663,-0.9571160087415217,0.2882673452366268,4.427538024088036,0.11656794575225123
-0.2616957793317255,0.25078857731443616,1.3605373404685903,0.5146214386948665,-0.836760585206253,0.2956027751460959,4.625774338768712,0.034248994731887736
